ID_data;UF;Especie;Area
298;SC;Eucalipto;116240.0
298;AP;Eucalipto;65026.0
298;PI;Eucalipto;26068.0
220;NI;Seringueira;159500.0
233;NI;Seringueira;165648.0
246;NI;Seringueira;168848.0
259;NI;Seringueira;172448.0
272;NI;Seringueira;229059.0
285;NI;Seringueira;229059.0
298;NI;Seringueira;229964.0
